model,outcome,family,term,label,estimate,std_error,p_value,ci_low,ci_high,nobs,holm_p_value,control_var
sensitivity_outparty_feeling_rq4_frame_x_party,Tolerance for future backsliding (re-election support),sensitivity_outparty_feeling_exploratory_rq4,"C(frame, Treatment(reference=""Policy""))[T.Democracy]:inparty_treat",Democracy frame x in-party,-0.3725091942551341,1.303833520468827,0.7751055797696218,-2.9279759362101023,2.182957547699834,76.0,,outparty_feeling
sensitivity_outparty_feeling_rq1_any_treatment,Affective polarization (index),sensitivity_outparty_feeling_rq1_confirmatory,treated_any,Any treatment vs control,0.01912840918968617,0.25611796869186076,0.940464601059656,-0.48285358523991806,0.5211104036192904,97.0,,outparty_feeling
sensitivity_outparty_feeling_rq2_inparty_vs_outparty,Affective polarization (index),sensitivity_outparty_feeling_rq2_confirmatory,inparty_treat,In-party vs out-party,-0.2791658417266909,0.2072872882964498,0.17805814219972171,-0.6854414612407036,0.12710977778732174,76.0,,outparty_feeling
sensitivity_outparty_feeling_rq3_frame_effects,Affective polarization (index),sensitivity_outparty_feeling_rq3_confirmatory,"C(frame, Treatment(reference=""Policy""))[T.Electoral]",Electoral vs policy,-0.19487023864529762,0.26024707249188755,0.4539841742201036,-0.7049451278113819,0.3152046505207866,76.0,,outparty_feeling
sensitivity_outparty_feeling_rq3_frame_effects,Affective polarization (index),sensitivity_outparty_feeling_rq3_confirmatory,"C(frame, Treatment(reference=""Policy""))[T.Democracy]",Democracy vs policy,-0.5285721296233329,0.2600267981416171,0.04207675461673015,-1.038215288996169,-0.01892897025049667,76.0,,outparty_feeling
sensitivity_outparty_feeling_rq4_frame_x_party,Affective polarization (index),sensitivity_outparty_feeling_exploratory_rq4,"C(frame, Treatment(reference=""Policy""))[T.Electoral]:inparty_treat",Electoral frame x in-party,-0.5434995676903043,0.424071325019133,0.1999749246600846,-1.3746640916039845,0.28766495622337596,76.0,,outparty_feeling
sensitivity_outparty_feeling_rq4_frame_x_party,Affective polarization (index),sensitivity_outparty_feeling_exploratory_rq4,"C(frame, Treatment(reference=""Policy""))[T.Democracy]:inparty_treat",Democracy frame x in-party,-0.4709840353229693,0.5491424834036586,0.3910737026382276,-1.5472835251750243,0.6053154545290858,76.0,,outparty_feeling
sensitivity_outparty_feeling_rq1_any_treatment,Affective polarization (latent),secondary_rq1,treated_any,Any treatment vs control,-0.08863694212436406,0.22706253233412654,0.6962677176814573,-0.5336713277377135,0.35639744348898544,97.0,,outparty_feeling
sensitivity_outparty_feeling_rq2_inparty_vs_outparty,Affective polarization (latent),secondary_rq2,inparty_treat,In-party vs out-party,0.11340158206389679,0.24618856103787604,0.6450648269745796,-0.36911913097608107,0.5959222951038746,76.0,,outparty_feeling
sensitivity_outparty_feeling_rq3_frame_effects,Affective polarization (latent),secondary_rq3,"C(frame, Treatment(reference=""Policy""))[T.Electoral]",Electoral vs policy,-0.1950772720992489,0.30056432499288765,0.5163146668060314,-0.7841725241229007,0.39401797992440296,76.0,,outparty_feeling
sensitivity_outparty_feeling_rq3_frame_effects,Affective polarization (latent),secondary_rq3,"C(frame, Treatment(reference=""Policy""))[T.Democracy]",Democracy vs policy,0.14850624018750835,0.34753249164124833,0.669149084173463,-0.5326449268868058,0.8296574072618225,76.0,,outparty_feeling
sensitivity_outparty_feeling_rq4_frame_x_party,Affective polarization (latent),secondary_rq4,"C(frame, Treatment(reference=""Policy""))[T.Electoral]:inparty_treat",Electoral frame x in-party,0.03798852177499046,0.6756921202593749,0.9551652390874581,-1.2863436985708914,1.3623207421208723,76.0,,outparty_feeling
sensitivity_outparty_feeling_rq4_frame_x_party,Affective polarization (latent),secondary_rq4,"C(frame, Treatment(reference=""Policy""))[T.Democracy]:inparty_treat",Democracy frame x in-party,-0.5173803601265046,0.7295939347312338,0.4782409048296564,-1.9473581955385897,0.9125974752855806,76.0,,outparty_feeling
