StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q-Age,Q-Gender,Q-Race,Q-PartyAffiliation,Q-PartyAffiliation_4_TEXT,Q-PolarAffiliation,Q-MiddleAffiliation,Q-FeelingThermR_1,Q-FeelingThermD_1,Q-AffPolarization,Q-DemThreat,Q-ReElection,Q-InLawDist,Q-CloseFriendDist,Q-Social Distance 3,Q-AttentionCheck,Q-Manipulation Check,Treat_Party,Treat_Frame,InParty,OutParty,InPartyNoun,OutPartyNoun,GovParty,GovPartyNoun
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,45 - 54,Non-binary / third gender,American Indian or Alaska Native,No Preference,,,Closer to Democratic Party,31,19,Extremely important,Directing law enforcement to investigate politicians of the opposing party,Very likely,Comfortable,Somewhat uncomfortable,Very comfortable,Republican,The governor took this action in an effort to reshape democratic norms and institutions,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,85 or older,Female,Native Hawaiian or Pacific Islander,No Preference,,,Closer to Republican Party,31,70,Low importance,Banning political rallies,Somewhat likely,Neither comfortable nor uncomfortable,Very Comfortable,Uncomfortable,Democrat,The governor took this action in an effort to reshape democratic norms and institutions,InParty,Democracy,Republican,Democratic,Republican,Democrat,Republican,
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,85 or older,Female,Black or African American,Other Party (Please Specify),Montes! Nulla molestie id bibendum massa vulputate ullamcorper! Nibh lectus ridiculus pellentesque curabitur integer.,,Closer to Republican Party,34,98,Slightly important,Restructuring the state’s highest court in the incumbent’s favor,Very likely,Somewhat comfortable,Uncomfortable,Uncomfortable,Not Specified,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,InParty,Democracy,Republican,Democratic,Republican,Democrat,Republican,
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,45 - 54,Female,Native Hawaiian or Pacific Islander,Republican,,Not Very Strong,,15,56,Low importance,Restructuring the state’s highest court in the incumbent’s favor,Somewhat unlikely,Somewhat uncomfortable,Uncomfortable,Somewhat uncomfortable,Republican,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,OutParty,Electoral,Republican,Democratic,Republican,Democrat,Democratic,Democrat
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,55 - 64,Non-binary / third gender,White,Democrat,,Strong,,6,61,Important,Manipulating geographic boundaries of election districts,Very unlikely,Very comfortable,Very uncomfortable,Very uncomfortable,Democrat,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,InParty,Policy,Democratic,Republican,Democrat,Republican,Democratic,
4/28/26 8:05,4/28/26 8:05,Survey Test,100,1,TRUE,4/28/26 8:05,test,,18 - 24,Female,Black or African American,Independent,,,Neither,15,31,Low importance,Manipulating geographic boundaries of election districts,Somewhat unlikely,Uncomfortable,Comfortable,Comfortable,Democrat,The governor took this action in an effort to reshape democratic norms and institutions,InParty,Democracy,Republican,Democratic,Republican,Democrat,Republican,
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,55 - 64,Female,Asian,Other Party (Please Specify),"Ante sem. Diam donec morbi leo dapibus, ipsum magna curabitur? Porttitor dui.",,Closer to Republican Party,55,14,Moderately important,Restructuring the state’s highest court in the incumbent’s favor,Unlikely,Uncomfortable,Somewhat uncomfortable,Neither comfortable nor uncomfortable,Democrat,The governor took this action in an effort to reshape democratic norms and institutions,Control,Democracy,Republican,Democratic,Republican,Democrat,,
4/28/26 8:05,4/28/26 8:05,Survey Test,100,1,TRUE,4/28/26 8:05,test,,75 - 84,Female,White,Other Party (Please Specify),Metus odio velit wisi eu neque dolor in pede? Lorem morbi quis quis vestibulum.,,Closer to Republican Party,9,87,Not at all important,Banning political rallies,Somewhat unlikely,Somewhat uncomfortable,Somewhat uncomfortable,Very comfortable,Republican,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,OutParty,Electoral,Republican,Democratic,Republican,Democrat,Democratic,Democrat
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,Under 18,,,,,,,,,,,,,,,,,Control,Policy,,,,,,
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,25 - 34,Female,White,Republican,,Not Very Strong,,52,96,Moderately important,Directing law enforcement to investigate politicians of the opposing party,Unlikely,Neither comfortable nor uncomfortable,Very uncomfortable,Neither comfortable nor uncomfortable,Democrat,The governor took this action in an effort to reshape democratic norms and institutions,InParty,Policy,Republican,Democratic,Republican,Democrat,Republican,
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,85 or older,Male,Black or African American,Independent,,,Closer to Republican Party,90,11,Extremely important,Manipulating geographic boundaries of election districts,Somewhat unlikely,Somewhat comfortable,Somewhat uncomfortable,Neither comfortable nor uncomfortable,Republican,The governor took this action in an effort to reshape democratic norms and institutions,OutParty,Policy,Republican,Democratic,Republican,Democrat,Democratic,Democrat
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,35 - 44,Prefer not to say,Black or African American,Other Party (Please Specify),Sem maecenas. Praesent? Rhoncus id pharetra nunc. Nonummy quis ligula nunc aenean massa.,,Closer to Republican Party,24,85,Very important,Manipulating geographic boundaries of election districts,Somewhat likely,Somewhat uncomfortable,Very uncomfortable,Comfortable,Republican,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,OutParty,Policy,Republican,Democratic,Republican,Democrat,Democratic,Democrat
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,25 - 34,Prefer not to say,Other,Independent,,,Closer to Democratic Party,58,95,Moderately important,Manipulating geographic boundaries of election districts,Somewhat likely,Somewhat uncomfortable,Somewhat uncomfortable,Uncomfortable,Democrat,The governor took this action in an effort to reshape democratic norms and institutions,OutParty,Policy,Democratic,Republican,Democrat,Republican,Republican,Republican
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,25 - 34,Prefer not to say,Asian,Independent,,,Closer to Republican Party,68,21,Low importance,Banning political rallies,Somewhat unlikely,Neither comfortable nor uncomfortable,Uncomfortable,Somewhat uncomfortable,Republican,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,OutParty,Policy,Republican,Democratic,Republican,Democrat,Democratic,Democrat
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,85 or older,Male,White,No Preference,,,Closer to Republican Party,28,100,Extremely important,Restructuring the state’s highest court in the incumbent’s favor,Very unlikely,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Uncomfortable,Democrat,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,OutParty,Policy,Republican,Democratic,Republican,Democrat,Democratic,Democrat
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,65 - 74,Female,Native Hawaiian or Pacific Islander,Democrat,,Not Very Strong,,47,92,Not at all important,Prosecuting journalists for unfair news coverage,Somewhat likely,Neither comfortable nor uncomfortable,Uncomfortable,Comfortable,Democrat,The governor took this action to pursue a specific policy outcome.,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,45 - 54,Prefer not to say,White,Democrat,,Not Very Strong,,17,10,Low importance,Prosecuting journalists for unfair news coverage,Somewhat unlikely,Somewhat comfortable,Somewhat comfortable,Somewhat uncomfortable,Democrat,The governor took this action in an effort to reshape democratic norms and institutions,InParty,Electoral,Democratic,Republican,Democrat,Republican,Democratic,
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,85 or older,Prefer not to say,American Indian or Alaska Native,Republican,,Not Very Strong,,45,88,Moderately important,Prosecuting journalists for unfair news coverage,Neither likely nor unlikely,Very comfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Democrat,The governor took this action to pursue a specific policy outcome.,OutParty,Electoral,Republican,Democratic,Republican,Democrat,Democratic,Democrat
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,18 - 24,Prefer not to say,Asian,Republican,,Not Very Strong,,89,81,Moderately important,Banning political rallies,Very likely,Comfortable,Very uncomfortable,Uncomfortable,Republican,The governor took this action to pursue a specific policy outcome.,Control,Policy,Republican,Democratic,Republican,Democrat,,
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,35 - 44,Non-binary / third gender,Other,No Preference,,,Closer to Republican Party,40,58,Extremely important,Directing law enforcement to investigate politicians of the opposing party,Unlikely,Somewhat uncomfortable,Somewhat comfortable,Comfortable,Democrat,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,Control,Democracy,Republican,Democratic,Republican,Democrat,,
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,85 or older,Prefer not to say,Other,Democrat,,Not Very Strong,,95,45,Very important,Prosecuting journalists for unfair news coverage,Likely,Very comfortable,Uncomfortable,Neither comfortable nor uncomfortable,Not Specified,The governor took this action to pursue a specific policy outcome.,Control,Policy,Democratic,Republican,Democrat,Republican,,
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,45 - 54,Female,White,No Preference,,,Neither,65,72,Very important,Restructuring the state’s highest court in the incumbent’s favor,Somewhat unlikely,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Somewhat comfortable,Not Specified,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,Control,Electoral,Republican,Democratic,Republican,Democrat,,
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,35 - 44,Non-binary / third gender,Asian,Independent,,,Closer to Democratic Party,72,39,Slightly important,Manipulating geographic boundaries of election districts,Very likely,Uncomfortable,Uncomfortable,Somewhat comfortable,Not Specified,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,InParty,Policy,Democratic,Republican,Democrat,Republican,Democratic,
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,35 - 44,Female,American Indian or Alaska Native,Other Party (Please Specify),"Amet malesuada sollicitudin aliquet ac sagittis platea primis! Venenatis, integer mattis in.",,Closer to Republican Party,54,95,Low importance,Manipulating geographic boundaries of election districts,Very unlikely,Neither comfortable nor uncomfortable,Comfortable,Uncomfortable,Not Specified,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,OutParty,Policy,Republican,Democratic,Republican,Democrat,Democratic,Democrat
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,45 - 54,Non-binary / third gender,Asian,Democrat,,Not Very Strong,,18,96,Slightly important,Banning political rallies,Neither likely nor unlikely,Somewhat uncomfortable,Uncomfortable,Comfortable,Democrat,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,InParty,Policy,Democratic,Republican,Democrat,Republican,Democratic,
4/28/26 8:05,4/28/26 8:05,Survey Test,100,1,TRUE,4/28/26 8:05,test,,35 - 44,Male,Black or African American,No Preference,,,Closer to Democratic Party,34,41,Slightly important,Prosecuting journalists for unfair news coverage,Likely,Very comfortable,Very uncomfortable,Somewhat uncomfortable,Democrat,The governor took this action in an effort to reshape democratic norms and institutions,InParty,Electoral,Democratic,Republican,Democrat,Republican,Democratic,
