Introduction/Consent,Q-PartyAffiliation,Q-PartyAffiliation_4_TEXT,Q-PolarAffiliation,Q-MiddleAffiliation,Q-DemThreat,Q-FeelingTherm_1,Q-FeelingTherm_2,Q-AffPolarization,Event1_Prob_Pre_1,Event2_Prob_Pre_1,Event3_Prob_Pre_1,Event4_Prob_Pre_1,Attention Check_1,Prior_awareness,Prior_participation,redistrict_c_time _First Click,redistrict_c_time _Last Click,redistrict_c_time _Page Submit,redistrict_c_time _Click Count,redistrict_t_time_First Click,redistrict_t_time_Last Click,redistrict_t_time_Page Submit,redistrict_t_time_Click Count,rallies_c_time_First Click,rallies_c_time_Last Click,rallies_c_time_Page Submit,rallies_c_time_Click Count,rallies_t_time_First Click,rallies_t_time_Last Click,rallies_t_time_Page Submit,rallies_t_time_Click Count,investigate_t_time_First Click,investigate_t_time_Last Click,investigate_t_time_Page Submit,investigate_t_time_Click Count,media_c_time_First Click,media_c_time_Last Click,media_c_time_Page Submit,media_c_time_Click Count,media_t_time_First Click,media_t_time_Last Click,media_t_time_Page Submit,media_t_time_Click Count,courts_c_time_First Click,courts_c_time_Last Click,courts_c_time_Page Submit,courts_c_time_Click Count,courts_t_time_First Click,courts_t_time_Last Click,courts_t_time_Page Submit,courts_t_time_Click Count,Q-InLawDist,Q-CloseFriendDist,Q-Social Distance 3,Q-ReElection,Q-AttentionCheck,Q-Manipulation Check,Event1_Prob_Post_1...59,Event2_Prob_Post_1...60,Event3_Prob_Post_1...61,Event4_Prob_Post_1...62,Event1_Prob_Post_1...63,Event2_Prob_Post_1...64,Event3_Prob_Post_1...65,Event4_Prob_Post_1...66,Event1_Prob_Post_1...67,Event2_Prob_Post_1...68,Event3_Prob_Post_1...69,Event4_Prob_Post_1...70,ParticipantId,assignmentId,projectId,Market_Price_m_kxcpi-26apr,Market_Price_m_kxpayrolls-26apr,Market_Price_m_controls-2026,Market_Price_m_kxiceero-26mar,Market_Price_m_kxpayrolls-26may,order_first,Treat_Party,Treat_Frame,InParty,OutParty,InPartyNoun,OutPartyNoun,GovParty,GovPartyNoun,frame_topic,Treatment,StartTime (America/Denver),CompletionTime (America/Denver),CompletionType,CompletionCode,Payment,Bonus,Fees,Status,QueryString,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Gender,Country Of Residence,Household Income,Race,Employment Status
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Restructuring the state’s highest court to favor the party in power,2,90,Very important,76,30,45,20,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.525,23.712,25.854,4,Uncomfortable,Very uncomfortable,Uncomfortable,Likely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,72,34,43,25,0F0E037538374B318C74725D8155BC31,019dfa4d-6626-7ddb-bf9e-bed3da92c714,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,OW,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,courts,3,05/05/2026 04:41:09 PM,05/05/2026 04:47:39 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,39,"Bachelor's degree (for example: BA, AB, BS)",Female,Arts,Married,Democrat,"Yes, Mexican, Mexican Am., Chicano",Woman,United States,"$125,000-$149,999",White,"Not in paid work (e.g., homemaker, disabled)"
"Yes, I consent to participate.",Democrat,NA,Not very strong,NA,Restructuring the state’s highest court to favor the party in power,10,60,Important,90,78,40,34,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,11.024,13.818,5,Somewhat uncomfortable,Uncomfortable,Neither comfortable nor uncomfortable,Somewhat unlikely,Democrat,The governor took action in an effort to reshape democratic norms and institutions.,90,75,40,50,NA,NA,NA,NA,NA,NA,NA,NA,03279B62A265438C87E2EE15DBC143B5,019dfa4f-9c40-71ef-858d-3dda2afb4f61,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,Mehlhaff,InParty,Policy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,courts,0,05/05/2026 04:43:34 PM,05/05/2026 04:48:18 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,26,"Bachelor's degree (for example: BA, AB, BS)",Female,"Science, Technology, Engineering & Mathematics",Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$90,000-$99,999",Chinese,Full-time
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Directing law enforcement to investigate politicians of the opposing party,0,100,Very important,57,41,39,42,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.959,8.279,9.016,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat uncomfortable,Somewhat uncomfortable,Somewhat uncomfortable,Somewhat unlikely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,45,48,48,76,DEDFD96B839F471D81485116FFF2CCB0,019dfa51-f0d1-783d-a2ba-5f411cd244f0,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,OW,InParty,Policy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,investigate,2,05/05/2026 04:46:07 PM,05/05/2026 04:49:16 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,77,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Retired,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$250,000 or more",White,Retired
"Yes, I consent to participate.",Independent,NA,NA,Neither,Manipulating geographic boundaries of election districts,40,21,Very important,93,96,44,93,64,Yes,No,NA,NA,NA,NA,0,0,55.466,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comfortable,Comfortable,Comfortable,Very unlikely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,55,29,50,90,DBD70B5DC95746B78400306DD0127577,019dfa4e-d067-7b7c-8c1b-0df490f316a2,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,Mehlhaff,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,redistrict,2,05/05/2026 04:42:42 PM,05/05/2026 04:49:24 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,66,"Bachelor's degree (for example: BA, AB, BS)",Male,"Transportation, Distribution & Logistics",Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$20,000-$29,999",White,Retired
"Yes, I consent to participate.",Republican,NA,Not very strong,NA,Prosecuting journalists for unfair news coverage,27,13,Very important,58,23,50,77,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.817,14.012,16.825,5,NA,NA,NA,NA,NA,NA,NA,NA,Very comfortable,Very Comfortable,Very comfortable,Very unlikely,Democrat,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,NA,NA,NA,NA,54,47,57,90,5A5BF28B8EFE47D9AF7F4ED88DE6290B,019dfa52-5697-7fc4-8a42-4aaab7085728,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,Mehlhaff,OutParty,Democracy,Republican,Democratic,Republican,Democrat,Democratic,Democrat,media,2,05/05/2026 04:46:33 PM,05/05/2026 04:49:32 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,30,"Doctorate degree (for example: PhD, EdD)",Male,Medicine,In a relationship,Republican,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$70,000-$79,999",Asian Indian,Full-time
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Manipulating geographic boundaries of election districts,34,78,Very important,9,73,40,30,64,Yes,No,NA,NA,NA,NA,0,0,17.097,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat comfortable,Comfortable,Somewhat comfortable,Likely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,10,73,40,40,NA,NA,NA,NA,7F728E9FC49E4E038D743D9C45E32C0E,019dfa4f-73f1-7062-a1e5-3a022b8d2318,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,OW,InParty,Electoral,Democratic,Republican,Democrat,Republican,Democratic,Democrat,redistrict,1,05/05/2026 04:43:24 PM,05/05/2026 04:49:36 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,65,"Bachelor's degree (for example: BA, AB, BS)",Male,Information Technology,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,Prefer not to say,White,Retired
"Yes, I consent to participate.",No preference,NA,NA,Neither,Restructuring the state’s highest court to favor the party in power,25,50,Somewhat important,50,11,95,50,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.071,70.656,71.008,2,Uncomfortable,Uncomfortable,Somewhat uncomfortable,Neither likely nor unlikely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,34,10,95,70,7EC6EC9604A74DB4B503ED8DB5DFB91F,019dfa50-2386-73bf-9ee6-efbd19228f5e,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,Mehlhaff,OutParty,Democracy,Democratic,Republican,Democrat,Republican,Republican,Republican,courts,2,05/05/2026 04:44:09 PM,05/05/2026 04:49:37 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,27,"Some college, but no degree",Male,Information Technology,Single,Something else,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$40,000-$49,999",Black or African American,Part-time
"Yes, I consent to participate.",Republican,NA,Not very strong,NA,Banning political rallies,76,43,Somewhat important,40,12,83,41,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.54,44.561,49.041,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat comfortable,Comfortable,Comfortable,Somewhat likely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,NA,NA,NA,NA,50,50,60,92,D18E8083ADC74EF4A3A3C716416DF25D,019dfa4f-3451-7930-bb63-9e617e514c5c,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,OW,InParty,Democracy,Republican,Democratic,Republican,Democrat,Republican,Republican,rallies,3,05/05/2026 04:43:07 PM,05/05/2026 04:49:46 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,24,"Bachelor's degree (for example: BA, AB, BS)",Female,Medicine,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$90,000-$99,999",Black or African American,Part-time
"Yes, I consent to participate.",Democrat,NA,Not very strong,NA,Restructuring the state’s highest court to favor the party in power,24,71,Somewhat important,10,19,25,28,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,53.015,0,Uncomfortable,Neither comfortable nor uncomfortable,Somewhat uncomfortable,Very unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,NA,NA,NA,NA,52,33,29,17,F10B5079F863411ABD85CF7C5BD46E53,019dfa4d-30ed-7ce5-b723-4869bb42991a,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,OW,OutParty,Policy,Democratic,Republican,Democrat,Republican,Republican,Republican,courts,3,05/05/2026 04:40:56 PM,05/05/2026 04:49:41 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,29,"Some college, but no degree",Male,Arts,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"Less than $10,000",Filipino,Business Owner
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Directing law enforcement to investigate politicians of the opposing party,10,84,Very important,29,33,38,59,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Somewhat comfortable,Unlikely,Not specified,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,NA,NA,NA,NA,37,29,69,90,B123286873C8481988A52420BF087B2C,019dfa52-5325-74e2-b740-37ed3af69bff,019de1ab-afed-72b0-99bf-23a6aa89592d,0.545,0.475,0.565,0.895,NA,OW,Control,Control,Democratic,Republican,Democrat,Republican,NA,NA,investigate,3,05/05/2026 04:46:32 PM,05/05/2026 04:49:51 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,27,"Bachelor's degree (for example: BA, AB, BS)",Male,Other,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$50,000-$59,999",Filipino,Unemployed
