StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q-Age,Q-Gender,Q-Race,Q-PartyAffiliation,Q-PartyAffiliation_4_TEXT,Q-PolarAffiliation,Q-MiddleAffiliation,Q-FeelingThermR_1,Q-FeelingThermD_1,Q-AffPolarization,Q-DemThreat,Q-ReElection,Q-InLawDist,Q-CloseFriendDist,Q-Social Distance 3,Q-AttentionCheck,Q-Manipulation Check,Treat_Party,Treat_Frame,InParty,OutParty,InPartyNoun,OutPartyNoun,GovParty,GovPartyNoun,republican_therm,democratic_therm,baseline_affpol_signed,baseline_affpol_abs,governor_support,baseline_demnorms,inlaw_comfort,inlaw_comfort_reversed,friend_comfort,friend_comfort_reversed,neighbor_comfort,neighbor_comfort_reversed,affpol_index,affpol_latent,party_id_7pt,inparty_feeling,outparty_feeling,baseline_inparty_minus_outparty,treated_any,inparty_treat,frame,selected_action,condition_7,attention_expected,attention_pass,manip_frame_response,frame_pass
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,55 - 64,Female,Black or African American,Other Party (Please Specify),Porta molestie pellentesque volutpat volutpat aliquam suspendisse facilisis tempor accusamus euismod elementum.,,Closer to Republican Party,43,43,Very important,Prosecuting journalists for unfair news coverage,Neither likely nor unlikely,Somewhat uncomfortable,Very uncomfortable,Very comfortable,Not Specified,The governor took this action to pursue a specific policy outcome.,OutParty,Democracy,Republican,Democratic,Republican,Democrat,Democratic,Democrat,43,43,0,0,4,6,3,5,1,7,7,1,4.333333333333333,1.6947398913996945,1,43.0,43.0,0.0,1,0.0,Democracy,Prosecuting journalists for unfair news coverage,OutParty-Democracy,Democratic,0.0,Policy,0.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,85 or older,Male,American Indian or Alaska Native,Independent,,,Closer to Republican Party,90,86,Moderately important,Banning political rallies,Very likely,Somewhat uncomfortable,Somewhat comfortable,Somewhat uncomfortable,Not Specified,The governor took this action in an effort to reshape democratic norms and institutions,InParty,Policy,Republican,Democratic,Republican,Democrat,Republican,,90,86,4,4,7,4,3,5,5,3,3,5,4.333333333333333,-0.004343211210774082,1,90.0,86.0,4.0,1,1.0,Policy,Banning political rallies,InParty-Policy,Republican,0.0,Democracy,0.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,1,TRUE,4/28/26 8:01,test,,18 - 24,Male,Black or African American,Other Party (Please Specify),Vel molestie! Donec commodo magna curabitur proin auctor aliquet primis malesuada viverra.,,Neither,11,93,Important,Banning political rallies,Likely,Somewhat uncomfortable,Comfortable,Somewhat uncomfortable,Democrat,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican,11,93,-82,82,6,5,3,5,6,2,3,5,4.0,-0.07625407656519669,0,93.0,11.0,82.0,1,0.0,Electoral,Banning political rallies,OutParty-Electoral,Republican,0.0,Electoral,1.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,25 - 34,Male,Other,Republican,,Not Very Strong,,59,8,Important,Directing law enforcement to investigate politicians of the opposing party,Likely,Somewhat comfortable,Very uncomfortable,Neither comfortable nor uncomfortable,Democrat,The governor took this action to pursue a specific policy outcome.,OutParty,Policy,Republican,Democratic,Republican,Democrat,Democratic,Democrat,59,8,51,51,6,5,5,3,1,7,4,4,4.666666666666667,-0.02074435342301377,2,59.0,8.0,51.0,1,0.0,Policy,Directing law enforcement to investigate politicians of the opposing party,OutParty-Policy,Democratic,0.0,Policy,1.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,25 - 34,Prefer not to say,White,Independent,,,Closer to Democratic Party,97,78,Slightly important,Prosecuting journalists for unfair news coverage,Somewhat likely,Very comfortable,Somewhat comfortable,Uncomfortable,Not Specified,The governor took this action to pursue a specific policy outcome.,OutParty,Policy,Democratic,Republican,Democrat,Republican,Republican,Republican,97,78,19,19,5,3,7,1,5,3,2,6,3.3333333333333335,-1.671012149365218,-1,78.0,97.0,-19.0,1,0.0,Policy,Prosecuting journalists for unfair news coverage,OutParty-Policy,Republican,0.0,Policy,1.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,65 - 74,Non-binary / third gender,White,No Preference,,,Neither,45,52,Very important,Prosecuting journalists for unfair news coverage,Very unlikely,Neither comfortable nor uncomfortable,Very Comfortable,Somewhat uncomfortable,Democrat,The governor took this action to pursue a specific policy outcome.,Control,Democracy,Republican,Democratic,Republican,Democrat,,,45,52,-7,7,1,6,4,4,7,1,3,5,3.3333333333333335,-0.4766171988836816,0,45.0,52.0,-7.0,0,,Democracy,Prosecuting journalists for unfair news coverage,Control,Not Specified,0.0,Policy,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,18 - 24,Non-binary / third gender,Asian,Republican,,Strong,,21,56,Important,Restructuring the state’s highest court in the incumbent’s favor,Somewhat unlikely,Neither comfortable nor uncomfortable,Comfortable,Comfortable,Not Specified,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,InParty,Policy,Republican,Democratic,Republican,Democrat,Republican,,21,56,-35,35,3,5,4,4,6,2,6,2,2.6666666666666665,0.6538733973653245,3,21.0,56.0,-35.0,1,1.0,Policy,Restructuring the state’s highest court in the incumbent’s favor,InParty-Policy,Republican,0.0,Electoral,0.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,35 - 44,Male,Asian,No Preference,,,Closer to Democratic Party,52,18,Slightly important,Directing law enforcement to investigate politicians of the opposing party,Somewhat likely,Very comfortable,Comfortable,Very uncomfortable,Democrat,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,Control,Democracy,Democratic,Republican,Democrat,Republican,,,52,18,34,34,5,3,7,1,6,2,1,7,3.3333333333333335,-2.095782925017835,-1,18.0,52.0,-34.0,0,,Democracy,Directing law enforcement to investigate politicians of the opposing party,Control,Not Specified,0.0,Electoral,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,18 - 24,Female,White,Other Party (Please Specify),Dignissim amet ridiculus porttitor ipsum mi convallis. Elementum luctus. Et.,,Closer to Democratic Party,65,21,Slightly important,Directing law enforcement to investigate politicians of the opposing party,Very unlikely,Comfortable,Somewhat comfortable,Comfortable,Democrat,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,Control,Policy,Democratic,Republican,Democrat,Republican,,,65,21,44,44,1,3,6,2,5,3,6,2,2.3333333333333335,0.0688797487916223,-1,21.0,65.0,-44.0,0,,Policy,Directing law enforcement to investigate politicians of the opposing party,Control,Not Specified,0.0,Electoral,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,1,TRUE,4/28/26 8:01,test,,35 - 44,Female,American Indian or Alaska Native,Democrat,,Not Very Strong,,43,95,Slightly important,Prosecuting journalists for unfair news coverage,Somewhat likely,Neither comfortable nor uncomfortable,Somewhat comfortable,Very comfortable,Democrat,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,OutParty,Policy,Democratic,Republican,Democrat,Republican,Republican,Republican,43,95,-52,52,5,3,4,4,5,3,7,1,2.6666666666666665,1.0786441730179417,-2,95.0,43.0,52.0,1,0.0,Policy,Prosecuting journalists for unfair news coverage,OutParty-Policy,Republican,0.0,Electoral,0.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,55 - 64,Male,American Indian or Alaska Native,Other Party (Please Specify),"Felis? Tortor luctus suspendisse magna sem ultrices. Augue, viverra donec ridiculus sagittis. Sit atque morbi.",,Closer to Republican Party,22,15,Extremely important,Prosecuting journalists for unfair news coverage,Unlikely,Comfortable,Comfortable,Comfortable,Not Specified,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,OutParty,Democracy,Republican,Democratic,Republican,Democrat,Democratic,Democrat,22,15,7,7,2,7,6,2,6,2,6,2,2.0,-0.003031116562800302,1,22.0,15.0,7.0,1,0.0,Democracy,Prosecuting journalists for unfair news coverage,OutParty-Democracy,Democratic,0.0,Electoral,0.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,65 - 74,Prefer not to say,Native Hawaiian or Pacific Islander,Independent,,,Closer to Republican Party,95,34,Slightly important,Prosecuting journalists for unfair news coverage,Very unlikely,Somewhat uncomfortable,Comfortable,Somewhat comfortable,Not Specified,The governor took this action to pursue a specific policy outcome.,Control,Democracy,Republican,Democratic,Republican,Democrat,,,95,34,61,61,1,3,3,5,6,2,5,3,3.3333333333333335,0.6294657440311923,1,95.0,34.0,61.0,0,,Democracy,Prosecuting journalists for unfair news coverage,Control,Not Specified,1.0,Policy,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,1,TRUE,4/28/26 8:01,test,,25 - 34,Male,Other,Democrat,,Strong,,32,35,Slightly important,Prosecuting journalists for unfair news coverage,Somewhat likely,Very uncomfortable,Uncomfortable,Somewhat comfortable,Republican,The governor took this action in an effort to reshape democratic norms and institutions,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican,32,35,-3,3,5,3,1,7,2,6,5,3,5.333333333333333,1.5740137193770074,-3,35.0,32.0,3.0,1,0.0,Electoral,Prosecuting journalists for unfair news coverage,OutParty-Electoral,Republican,1.0,Democracy,0.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,55 - 64,Male,White,Other Party (Please Specify),"Felis pede sit wisi nibh dui proin potenti, lorem mattis purus platea aliquet.",,Closer to Democratic Party,60,3,Slightly important,Manipulating geographic boundaries of election districts,Neither likely nor unlikely,Comfortable,Neither comfortable nor uncomfortable,Somewhat uncomfortable,Not Specified,The governor took this action to pursue a specific policy outcome.,InParty,Electoral,Democratic,Republican,Democrat,Republican,Democratic,,60,3,57,57,4,3,6,2,4,4,3,5,3.6666666666666665,-0.9177891167485386,-1,3.0,60.0,-57.0,1,1.0,Electoral,Manipulating geographic boundaries of election districts,InParty-Electoral,Democratic,0.0,Policy,0.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,18 - 24,Prefer not to say,White,Republican,,Not Very Strong,,89,67,Extremely important,Restructuring the state’s highest court in the incumbent’s favor,Somewhat unlikely,Very uncomfortable,Very uncomfortable,Somewhat uncomfortable,Not Specified,The governor took this action to pursue a specific policy outcome.,Control,Policy,Republican,Democratic,Republican,Democrat,,,89,67,22,22,3,7,1,7,1,7,3,5,6.333333333333333,0.9402047641350413,2,89.0,67.0,22.0,0,,Policy,Restructuring the state’s highest court in the incumbent’s favor,Control,Not Specified,1.0,Policy,
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,85 or older,Non-binary / third gender,Other,No Preference,,,Closer to Democratic Party,7,100,Very important,Directing law enforcement to investigate politicians of the opposing party,Very unlikely,Somewhat comfortable,Very uncomfortable,Uncomfortable,Not Specified,The governor took this action to pursue a specific policy outcome.,OutParty,Policy,Democratic,Republican,Democrat,Republican,Republican,Republican,7,100,-93,93,1,6,5,3,1,7,2,6,5.333333333333333,-0.726464174019403,-1,100.0,7.0,93.0,1,0.0,Policy,Directing law enforcement to investigate politicians of the opposing party,OutParty-Policy,Republican,0.0,Policy,1.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,55 - 64,Prefer not to say,American Indian or Alaska Native,Independent,,,Closer to Republican Party,58,10,Low importance,Banning political rallies,Very unlikely,Neither comfortable nor uncomfortable,Somewhat uncomfortable,Somewhat uncomfortable,Republican,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,InParty,Policy,Republican,Democratic,Republican,Democrat,Republican,,58,10,48,48,1,2,4,4,3,5,3,5,4.666666666666667,-0.1889737374659912,1,58.0,10.0,48.0,1,1.0,Policy,Banning political rallies,InParty-Policy,Republican,1.0,Electoral,0.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,45 - 54,Non-binary / third gender,Native Hawaiian or Pacific Islander,Other Party (Please Specify),"Mi aliquam, pretium? Enim ultricies! Pede laoreet sed vitae ultricies quam morbi. Vel fringilla aliquet.",,Closer to Republican Party,20,88,Not at all important,Directing law enforcement to investigate politicians of the opposing party,Likely,Comfortable,Somewhat uncomfortable,Uncomfortable,Not Specified,The governor took this action in an effort to reshape democratic norms and institutions,OutParty,Policy,Republican,Democratic,Republican,Democrat,Democratic,Democrat,20,88,-68,68,6,1,6,2,3,5,2,6,4.333333333333333,-1.1987381616923105,1,20.0,88.0,-68.0,1,0.0,Policy,Directing law enforcement to investigate politicians of the opposing party,OutParty-Policy,Democratic,0.0,Democracy,0.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,45 - 54,Non-binary / third gender,American Indian or Alaska Native,No Preference,,,Closer to Democratic Party,31,19,Extremely important,Directing law enforcement to investigate politicians of the opposing party,Very likely,Comfortable,Somewhat uncomfortable,Very comfortable,Republican,The governor took this action in an effort to reshape democratic norms and institutions,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,,31,19,12,12,7,7,6,2,3,5,7,1,2.6666666666666665,0.5655613897986621,-1,19.0,31.0,-12.0,1,1.0,Democracy,Directing law enforcement to investigate politicians of the opposing party,InParty-Democracy,Democratic,0.0,Democracy,1.0
4/28/26 8:01,4/28/26 8:01,Survey Test,100,0,TRUE,4/28/26 8:01,test,,85 or older,Female,Native Hawaiian or Pacific Islander,No Preference,,,Closer to Republican Party,31,70,Low importance,Banning political rallies,Somewhat likely,Neither comfortable nor uncomfortable,Very Comfortable,Uncomfortable,Democrat,The governor took this action in an effort to reshape democratic norms and institutions,InParty,Democracy,Republican,Democratic,Republican,Democrat,Republican,,31,70,-39,39,5,2,4,4,7,1,2,6,3.6666666666666665,-0.8294771091818762,1,31.0,70.0,-39.0,1,1.0,Democracy,Banning political rallies,InParty-Democracy,Republican,0.0,Democracy,1.0
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,85 or older,Female,Black or African American,Other Party (Please Specify),Montes! Nulla molestie id bibendum massa vulputate ullamcorper! Nibh lectus ridiculus pellentesque curabitur integer.,,Closer to Republican Party,34,98,Slightly important,Restructuring the state’s highest court in the incumbent’s favor,Very likely,Somewhat comfortable,Uncomfortable,Uncomfortable,Not Specified,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,InParty,Democracy,Republican,Democratic,Republican,Democrat,Republican,,34,98,-64,64,7,3,5,3,2,6,2,6,5.0,-0.7983750393738256,1,34.0,98.0,-64.0,1,1.0,Democracy,Restructuring the state’s highest court in the incumbent’s favor,InParty-Democracy,Republican,0.0,Electoral,0.0
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,45 - 54,Female,Native Hawaiian or Pacific Islander,Republican,,Not Very Strong,,15,56,Low importance,Restructuring the state’s highest court in the incumbent’s favor,Somewhat unlikely,Somewhat uncomfortable,Uncomfortable,Somewhat uncomfortable,Republican,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,OutParty,Electoral,Republican,Democratic,Republican,Democrat,Democratic,Democrat,15,56,-41,41,3,2,3,5,2,6,3,5,5.333333333333333,0.21138938485249378,2,15.0,56.0,-41.0,1,0.0,Electoral,Restructuring the state’s highest court in the incumbent’s favor,OutParty-Electoral,Democratic,0.0,Electoral,1.0
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,55 - 64,Non-binary / third gender,White,Democrat,,Strong,,6,61,Important,Manipulating geographic boundaries of election districts,Very unlikely,Very comfortable,Very uncomfortable,Very uncomfortable,Democrat,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,InParty,Policy,Democratic,Republican,Democrat,Republican,Democratic,,6,61,-55,55,1,5,7,1,1,7,1,7,5.0,-1.7362285982457222,-3,61.0,6.0,55.0,1,1.0,Policy,Manipulating geographic boundaries of election districts,InParty-Policy,Democratic,0.0,Electoral,0.0
4/28/26 8:05,4/28/26 8:05,Survey Test,100,1,TRUE,4/28/26 8:05,test,,18 - 24,Female,Black or African American,Independent,,,Neither,15,31,Low importance,Manipulating geographic boundaries of election districts,Somewhat unlikely,Uncomfortable,Comfortable,Comfortable,Democrat,The governor took this action in an effort to reshape democratic norms and institutions,InParty,Democracy,Republican,Democratic,Republican,Democrat,Republican,,15,31,-16,16,3,2,2,6,6,2,6,2,3.3333333333333335,1.3107779112934492,0,15.0,31.0,-16.0,1,1.0,Democracy,Manipulating geographic boundaries of election districts,InParty-Democracy,Republican,0.0,Democracy,1.0
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,55 - 64,Female,Asian,Other Party (Please Specify),"Ante sem. Diam donec morbi leo dapibus, ipsum magna curabitur? Porttitor dui.",,Closer to Republican Party,55,14,Moderately important,Restructuring the state’s highest court in the incumbent’s favor,Unlikely,Uncomfortable,Somewhat uncomfortable,Neither comfortable nor uncomfortable,Democrat,The governor took this action in an effort to reshape democratic norms and institutions,Control,Democracy,Republican,Democratic,Republican,Democrat,,,55,14,41,41,2,4,2,6,3,5,4,4,5.0,0.820790686760328,1,55.0,14.0,41.0,0,,Democracy,Restructuring the state’s highest court in the incumbent’s favor,Control,Not Specified,0.0,Democracy,
4/28/26 8:05,4/28/26 8:05,Survey Test,100,1,TRUE,4/28/26 8:05,test,,75 - 84,Female,White,Other Party (Please Specify),Metus odio velit wisi eu neque dolor in pede? Lorem morbi quis quis vestibulum.,,Closer to Republican Party,9,87,Not at all important,Banning political rallies,Somewhat unlikely,Somewhat uncomfortable,Somewhat uncomfortable,Very comfortable,Republican,The governor took this action to gain an electoral advantage or to respond to similar actions taken by the other party in the past,OutParty,Electoral,Republican,Democratic,Republican,Democrat,Democratic,Democrat,9,87,-78,78,3,1,3,5,3,5,7,1,3.6666666666666665,1.5509181606908493,1,9.0,87.0,-78.0,1,0.0,Electoral,Banning political rallies,OutParty-Electoral,Democratic,0.0,Electoral,1.0
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,25 - 34,Female,White,Republican,,Not Very Strong,,52,96,Moderately important,Directing law enforcement to investigate politicians of the opposing party,Unlikely,Neither comfortable nor uncomfortable,Very uncomfortable,Neither comfortable nor uncomfortable,Democrat,The governor took this action in an effort to reshape democratic norms and institutions,InParty,Policy,Republican,Democratic,Republican,Democrat,Republican,,52,96,-44,44,2,4,4,4,1,7,4,4,5.0,0.3077079035410486,2,52.0,96.0,-44.0,1,1.0,Policy,Directing law enforcement to investigate politicians of the opposing party,InParty-Policy,Republican,0.0,Democracy,0.0
4/28/26 8:05,4/28/26 8:05,Survey Test,100,0,TRUE,4/28/26 8:05,test,,85 or older,Male,Black or African American,Independent,,,Closer to Republican Party,90,11,Extremely important,Manipulating geographic boundaries of election districts,Somewhat unlikely,Somewhat comfortable,Somewhat uncomfortable,Neither comfortable nor uncomfortable,Republican,The governor took this action in an effort to reshape democratic norms and institutions,OutParty,Policy,Republican,Democratic,Republican,Democrat,Democratic,Democrat,90,11,79,79,3,7,5,3,3,5,4,4,4.0,-0.16456608413185903,1,90.0,11.0,79.0,1,0.0,Policy,Manipulating geographic boundaries of election districts,OutParty-Policy,Democratic,0.0,Democracy,0.0
