Introduction/Consent,Q-PartyAffiliation,Q-PartyAffiliation_4_TEXT,Q-PolarAffiliation,Q-MiddleAffiliation,Prior_awareness,Prior_participation,Q-DemThreat,Q-FeelingTherm_1,Q-FeelingTherm_2,Q-AffPolarization,Event1_Prob_Pre_1,Event2_Prob_Pre_1,Event3_Prob_Pre_1,Event4_Prob_Pre_1,Attention Check_1,Q-InLawDist,Q-CloseFriendDist,Q-Social Distance 3,Q-ReElection,Q-AttentionCheck,Q-Manipulation Check,Event1_Prob_Post_1...40,Event2_Prob_Post_1...41,Event3_Prob_Post_1...42,Event4_Prob_Post_1...43,Event1_Prob_Post_1...44,Event2_Prob_Post_1...45,Event3_Prob_Post_1...46,Event4_Prob_Post_1...47,Event1_Prob_Post_1...48,Event2_Prob_Post_1...49,Event3_Prob_Post_1...50,Event4_Prob_Post_1...51,ParticipantId,assignmentId,projectId,Market_Price_m_kxusdebtmon-26may01,Market_Price_m_kxpayrolls-26apr,Market_Price_m_controls-2026,Market_Price_m_kxdhsfund,order_first,Treat_Party,Treat_Frame,InParty,OutParty,InPartyNoun,OutPartyNoun,GovParty,GovPartyNoun,frame_topic,Treatment,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Gender,Country Of Residence,Household Income,Race,Employment Status
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Yes,Yes,Directing law enforcement to investigate politicians of the opposing party,0,100,Very important,52,53,27,82,64,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,55,55,21,85,NA,NA,NA,NA,NA,NA,NA,NA,88C94A3623874F05ADBEE16B25EF1BB1,019de998-4b1f-7b5c-b389-ff7d8dfa04f4,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,OW,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican,investigate,0,69,"Bachelor's degree (for example: BA, AB, BS)",Male,Education & Training,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$150,000-$174,999",White,Full-time
"Yes, I consent to participate.",Democrat,NA,Not Very Strong,NA,Yes,No,Manipulating geographic boundaries of election districts,3,45,Very important,90,5,55,90,64,Somewhat uncomfortable,Uncomfortable,Neither comfortable nor uncomfortable,Likely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,95,5,55,80,NA,NA,NA,NA,NA,NA,NA,NA,C9A932ACBDF341BFAF4CC23E0724F4DA,019de999-32b7-71fd-a06c-fa36d900974c,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,Mehlhaff,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,redistrict,0,43,"Bachelor's degree (for example: BA, AB, BS)",Male,Other,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$250,000 or more",Chinese,Part-time
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Yes,No,Restructuring the state’s highest court to favor the party in power,0,70,Very important,90,10,10,50,64,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,100,20,50,95,NA,NA,NA,NA,784A96937A0F44E1BA55D7971CA37B7A,019de997-00cf-734b-a64b-5dd78e954966,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,Mehlhaff,OutParty,Policy,Democratic,Republican,Democrat,Republican,Republican,Republican,courts,2,41,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Married,Democrat,"Yes, Mexican, Mexican Am., Chicano",Woman,United States,"$100,000-$124,999",White,Unemployed
"Yes, I consent to participate.",Independent,NA,NA,Closer to Republican Party,Yes,No,Restructuring the state’s highest court to favor the party in power,83,14,Important,62,58,62,66,64,Somewhat uncomfortable,Somewhat comfortable,Neither comfortable nor uncomfortable,Very unlikely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,76,52,34,72,NA,NA,NA,NA,9C777ABC0CA34BCC8D0452EF6F542E2A,019de997-ac05-7232-a1ea-1110caa2cd9d,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,Mehlhaff,OutParty,Electoral,Republican,Democratic,Republican,Democrat,Democratic,Democrat,courts,3,27,"Bachelor's degree (for example: BA, AB, BS)",Female,NA,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$80,000-$89,999",Filipino,"Not in paid work (e.g., homemaker, disabled)"
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Yes,Yes,Manipulating geographic boundaries of election districts,15,86,Very important,99,65,59,77,64,Very comfortable,Comfortable,Comfortable,Likely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,100,44,58,100,NA,NA,NA,NA,D10ED7A5134E48A38394F95BF1D357C2,019de998-646b-7ff0-b5ae-a8f9ab2b5911,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,Mehlhaff,InParty,Policy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,redistrict,2,65,"Doctorate degree (for example: PhD, EdD)",Male,Business Management & Administration,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$250,000 or more",White,Full-time
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Yes,No,Manipulating geographic boundaries of election districts,7,73,Very important,58,15,46,95,64,Very uncomfortable,Uncomfortable,Neither comfortable nor uncomfortable,Very unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,59,20,46,91,NA,NA,NA,NA,NA,NA,NA,NA,4680491AF58148D7915636150F84281B,019de999-7357-7ab8-aa4f-de5a4c7b6e8b,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,OW,OutParty,Democracy,Democratic,Republican,Democrat,Republican,Republican,Republican,redistrict,0,45,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Arts,Divorced,Democrat,"Yes, Puerto Rican",Man,United States,"$30,000-$39,999",White,Full-time
"Yes, I consent to participate.",Republican,NA,Strong,NA,Yes,Yes,Restructuring the state’s highest court to favor the party in power,80,11,Neither important nor unimportant,66,25,65,30,64,Comfortable,Comfortable,Comfortable,Neither likely nor unlikely,Not specified,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,100,56,71,100,NA,NA,NA,NA,881B644C649C40C0A79543D1C45877BD,019de998-46e6-7070-9fc7-d7de6e08d577,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,OW,Control,Policy,Republican,Democratic,Republican,Democrat,NA,NA,courts,1,44,"Bachelor's degree (for example: BA, AB, BS)",Male,Other,Married,Republican,"Yes, Cuban",Man,United States,"$125,000-$149,999",White,Full-time
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Yes,No,Directing law enforcement to investigate politicians of the opposing party,2,80,Very important,100,53,46,100,64,Comfortable,Very Comfortable,Comfortable,Neither likely nor unlikely,Republican,The governor took action to pursue a specific policy outcome.,NA,NA,NA,NA,100,52,47,100,NA,NA,NA,NA,1A40B0BD6ACA480A93FDCD0C474DE120,019de998-280f-772e-be63-fe35328b928f,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,OW,Control,Policy,Democratic,Republican,Democrat,Republican,NA,NA,investigate,3,63,"Doctorate degree (for example: PhD, EdD)",Male,Education & Training,Divorced,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$80,000-$89,999",White,Full-time
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Yes,No,Prosecuting journalists for unfair news coverage,0,100,Somewhat important,90,0,80,90,64,Very uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Somewhat likely,Democrat,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,100,20,80,100,NA,NA,NA,NA,9EC07BE8990F4AD3BDA6781B29F3921C,019de997-9e68-7fce-985a-560e8fb9773e,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,OW,InParty,Policy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,media,3,52,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Divorced,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"Less than $10,000",Black or African American,Full-time
"Yes, I consent to participate.",Independent,NA,NA,Neither,Unsure,No,Manipulating geographic boundaries of election districts,20,25,Important,50,85,50,50,64,Comfortable,Comfortable,Comfortable,Unlikely,Not specified,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,50,85,50,50,NA,NA,NA,NA,1D957C0F9F134B738B60E8B4EC975515,019de999-997b-7a4b-a25a-5313eea0f793,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,OW,Control,Policy,Republican,Democratic,Republican,Democrat,NA,NA,redistrict,3,35,"Bachelor's degree (for example: BA, AB, BS)",Female,Arts,In a relationship,Independent,"Yes, Mexican, Mexican Am., Chicano",Woman,United States,"$30,000-$39,999",White,Full-time
"Yes, I consent to participate.",Independent,NA,NA,Closer to Republican Party,Yes,No,Restructuring the state’s highest court to favor the party in power,90,7,Somewhat important,81,40,30,50,64,Uncomfortable,Somewhat uncomfortable,Neither comfortable nor uncomfortable,Somewhat unlikely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,92,50,43,73,NA,NA,NA,NA,813A42D1482F4DF4BB159E909B49D5F3,019de997-c8be-7421-977f-481a4719b387,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,OW,InParty,Policy,Republican,Democratic,Republican,Democrat,Republican,Republican,courts,3,69,High school graduate - high school diploma or the equivalent (for example: GED),Female,Retired,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$100,000-$124,999",White,Retired
"Yes, I consent to participate.",Democrat,NA,Not Very Strong,NA,Yes,No,Directing law enforcement to investigate politicians of the opposing party,0,100,Very important,72,46,48,45,64,Somewhat uncomfortable,Somewhat uncomfortable,Somewhat uncomfortable,Somewhat unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,64,50,71,75,NA,NA,NA,NA,B222A449B5764EC3838ADB6E102FA35D,019de997-6822-74b8-b878-837ba201011a,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,OW,Control,Electoral,Democratic,Republican,Democrat,Republican,NA,NA,investigate,1,63,"Bachelor's degree (for example: BA, AB, BS)",Female,Information Technology,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$100,000-$124,999",Japanese,Part-time
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Yes,No,Directing law enforcement to investigate politicians of the opposing party,2,97,Important,70,37,34,76,64,Somewhat comfortable,Comfortable,Comfortable,Likely,Not specified,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,100,39,50,97,NA,NA,NA,NA,B5F94333EC794713BFD582B04A79E0BB,019de999-8091-7fe8-9e03-5c4006e55a5a,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,OW,Control,Policy,Democratic,Republican,Democrat,Republican,NA,NA,investigate,1,72,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Retired,Widowed,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$50,000-$59,999",Chinese,Retired
"Yes, I consent to participate.",Democrat,NA,Not Very Strong,NA,Yes,No,Manipulating geographic boundaries of election districts,80,80,Very important,50,4,35,50,64,Somewhat comfortable,Very Comfortable,Very comfortable,Very unlikely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,100,9,35,100,NA,NA,NA,NA,ADDBE78355E240D8AF1E859572FDF233,019de997-220d-71fa-b367-3e79ea965bb0,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,OW,OutParty,Policy,Democratic,Republican,Democrat,Republican,Republican,Republican,redistrict,3,67,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$20,000-$29,999",White,Full-time
"Yes, I consent to participate.",Democrat,NA,Not Very Strong,NA,No,No,Manipulating geographic boundaries of election districts,0,100,Very important,81,78,73,33,64,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Somewhat uncomfortable,Very unlikely,Not specified,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,91,36,50,71,NA,NA,NA,NA,0CDD8954336E4CBF8E717BD64560348B,019de997-7b52-75d0-b907-a02731b4e867,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,OW,Control,Electoral,Democratic,Republican,Democrat,Republican,NA,NA,redistrict,3,73,"Some college, but no degree",Female,Other,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$70,000-$79,999",Black or African American,Part-time
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Yes,Yes,Manipulating geographic boundaries of election districts,50,91,Important,50,8,50,50,64,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat unlikely,Democrat,The governor took action to pursue a specific policy outcome.,NA,NA,NA,NA,100,50,50,91,NA,NA,NA,NA,164679906AE8406A830DB3F47BEAB4D8,019de998-5034-751b-b9d4-da2aaabd140d,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,Mehlhaff,InParty,Policy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,redistrict,1,32,"Some college, but no degree",Female,I’d Rather Not Say,Single,Prefer not to say,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"Less than $10,000",Chinese,Prefer not to say
"Yes, I consent to participate.",Democrat,NA,Not Very Strong,NA,Yes,No,Restructuring the state’s highest court to favor the party in power,25,50,Very important,50,75,70,95,64,Neither comfortable nor uncomfortable,Comfortable,Very comfortable,Very unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,95,50,62,99,NA,NA,NA,NA,60FD9FAA02D7423FA95714B6B0B5A57B,019de998-0aa4-7f08-be4c-c44e2d1de445,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,Mehlhaff,OutParty,Democracy,Democratic,Republican,Democrat,Republican,Republican,Republican,courts,1,34,"Bachelor's degree (for example: BA, AB, BS)",Male,I’d Rather Not Say,Single,Democrat,"Yes, Mexican, Mexican Am., Chicano",Man,United States,"$70,000-$79,999",White,Full-time
"Yes, I consent to participate.",Republican,NA,Strong,NA,Yes,Yes,Restructuring the state’s highest court to favor the party in power,61,10,Important,86,90,45,33,64,Somewhat uncomfortable,Neither comfortable nor uncomfortable,Somewhat comfortable,Very unlikely,Democrat,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,98,61,46,99,NA,NA,NA,NA,D658674D9B724AD996EAD62AB913A30D,019de997-7392-7396-b7db-899d18ce7554,019de1ab-afed-72b0-99bf-23a6aa89592d,1,0.465,0.505,0.995,Mehlhaff,OutParty,Electoral,Republican,Democratic,Republican,Democrat,Democratic,Democrat,courts,1,40,"Bachelor's degree (for example: BA, AB, BS)",Male,Hospitality & Tourism,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$100,000-$124,999",Black or African American,Full-time
